1219614,伦勃朗速写,,白小彦,王太庆,吉林美术出版社,2005-01-01,18.0,9.2
1076426,世界美术名作二十讲,插图珍藏本,傅雷,,三联书店,1998-10-1,66.00,8.8
2362352,莫奈,世界艺术大师,黄苗子,,河北教育出版社,2007年,160.00,9.3
6773763,素描的原点,,[美] 安德鲁·路米斯,徐盛,上海人民美术出版社,2011-7,32.00元,8.9
3909836,柯林斯30分钟水彩花卉,,特雷弗·沃,,传神翻译,2009-8,50.00元,8.3
1446300,丰子恺谈名画,,丰子恺,,东方出版社,2005-11-1,29.80,8.2
4018791,查理雷德的水彩技法,,查理雷德,传神联合（北京）信息技术有限公司,文联,2009-8,120.00元,8.7
26415292,简笔画5000例，一本就够色铅笔卷,,涂涂猫,,人民邮电出版社,2015-1-1,59.80元,9.0
1500210,水彩光影表现技法,,王金成,,福建美术,2005-3,68.00元,9.2
4090260,力量,力量――动画速写与角色设计,马特斯,吴伟、王颖,人民邮电出版社,2009-10,49.00元,9.1
2821121,Watercolour Flower Portraits,,Billy Showell,,Search Press,2006-06-01,USD 35.00,9.6
10509471,52个创意绘画实验,,卡拉·桑海姆,余美,上海人民美术出版社,2011-12-29,59.00元,8.6
25809216,蛮情歌,,高马得,,新星出版社,2014-1,26,8.0
20254610,被遗忘的真迹,吴镇书画重鉴,徐小虎,刘智远,广西师范大学出版社,2012-10,118.00元,8.7
26277913,乐舞敦煌,,史苇湘、欧阳琳、史敦宇、金长明,,凤凰出版传媒集团,江苏美术出版社,2014-10-1,CNY 138.00,8.4
1084866,莫奈,捕捉光与色彩的瞬间,Sylvie Patin,张容,上海译文出版社,2004-5,35.00元,8.7
5921082,培养孩子从画画开始2：孩子的话如何看怎样教,,(日)鸟居昭美,于群,漓江出版社,2011-1,25.00元,8.6
26699062,如画观法,,王欣,,同济大学出版社,2015-12-1,228.00元,8.3
1817964,于小冬讲速写,,王欣,,同济大学出版社,2015-12-1,228.00元,8.4
5977392,动物画技法,,[美] 赓·赫尔脱格仑,付启源、曾文朗,人民美术出版社,1977,4.40元,9.5
26416437,名画之谜：历史故事篇,,[日]中野京子（Nakano Kyoko）,俞隽,中信出版社,2015-11,42.00元,8.3
19948616,线条、光线和色彩,罗斯金论绘画,(英)约翰·罗斯金,李正子、刘迪,金城出版社,2013-1,35.00元,8.3
20505731,有生之年非看不可的1001幅绘画,,史蒂芬•法辛、Stephen Farthing,顾海东,中央编译出版社,2013-2,198.00元,8.0
5266183,Botany for the Artist,,史蒂芬•法辛、Stephen Farthing,顾海东,中央编译出版社,2013-2,198.00元,9.2
1743043,欧洲绘画大师技法和材料,插图修订版,马克斯·多奈尔,杨红太,清华大学出版社,2006-1-20,36.00元,8.9
4727293,理解漫画,,[美] 麦克劳德,万旻,人民邮电出版社,2010-4,49.00元,9.4
25811785,莫奈和他的眼睛,,张佳玮,,译林出版社,2014-3,36.80,7.4
20382261,幻想的艺术,,詹姆斯·格尔尼,宋 婕,上海人民美术出版社,2013-1,68.00元,9.6
26760979,画框里的男人装,,中野京子,于晓菁,中信出版社,2016-9,38,6.6
6443390,隨手畫插畫,第一筆就可愛!,,Hiromi SHIMADA,王岑文,英屬維京群島商高寶國際,2011-5,70.00元,8.4
6967955,天生是个审美的人,,何多苓,,生活•读书•新知三联书店,2011-10,39.00元,8.3
5922095,世界绘画经典教程——动物素描,,[美]Jack Hamm,刁海鹏,人民邮电出版社,2011-1-1,35.00元,9.1
20277309,诗之旅,中国与日本的诗意绘画,[美] 高居翰,洪再新、高昕丹、高士明,生活·读书·新知三联书店,2012-10,45.00元,8.1
25871666,WOW！Photoshop终极CG绘画技法,专业绘画工具Blur's Good Brush极速手册,[美] 高居翰,洪再新、高昕丹、高士明,生活·读书·新知三联书店,2012-10,45.00元,8.0
5363491,千年丹青,细读中日藏唐宋元绘画珍品,上海博物馆,,北京大学出版社,2010-10,69.00元,8.6
3017768,埃贡·席勒,,（英）埃斯特·塞尔斯登、（德）雅内特·茨温格伯格,,山东美术出版社,2008-01,160.00元,8.9
25828634,自由绘画：插画师要知道的84个创作技巧,,[瑞士] 海伦·伯奇,杨璐,上海人民美术出版社,2014-1-1,45元,8.2
25816647,云的理论,为了建立一种新的绘画史,[法] 于贝尔•达米施 Hubert Damisch,董强,江苏美术出版社,2014-3,58.00元,8.3
1038523,人体素描,,罗伯特.贝弗利.黑尔,诸迪等,中国青年出版社,1998-9-1,40.00元,8.8
4086201,Watercolour Fruit & Vegetable Portraits,,Billy Showell,,Search Press,2009-07-01,USD 29.95,9.9
2815285,Perspective Drawing Handbook,,Joseph D'Amelio,,Dover Publications,2004-5-17,USD 8.95,9.3
