"26957420","临高启明","","'[美] 彼得·海斯勒'","'李雪顺'","'上海译文出版社'","'2011-1'","'33.00元'","9.5"
"10607040","妾本惊华（上下）","","西子情","","江苏文艺出版社","2012-6","49.80元","5.6"
"4582414","满朝欢（上下）","","峨嵋","","文化艺术出版社","2010-4","50.00元","6.9"
"10555721","金风玉露·终结篇","","柳暗花溟","","江苏文艺出版社","2012-4","49.80元","6.8"
"3897856","穿越之春色无双","","路过而已","","国际文化出版公司","2009-8","28.80元","6.6"
"24870698","宦妃","","青青的悠然","","青岛出版社","2013-7","55.00","7.2"
"25922348","步步惊华","","穆丹枫","","百花洲文艺出版社","2014-8","55.00元","7.6"
"3306270","新宋Ⅲ·燕云2","","阿越","","花山文艺出版社","2008-11","25.00元","8.6"
"11443717","霓裳","","清歌一片","","译林出版社","2012-7","28.00元","6.7"
"3228761","尋找前世之旅·二部曲3·牡丹公子","","Vivibear","","耕林出版文化事業","2008-09","NT$ 200","7.5"
"3718158","江湖遍地卖装备","","禾早","","河南文艺","2009-4","26.80元","7.7"
"6426768","水墨山河","","金子","","沈阳出版社","2011-5","26.80元","7.1"
"2118742","平安京之宋姬物语","","Vivibear","","河南文艺出版社","2007-05","20.0","6.7"
"25744975","江山不悔（上下）","","丁墨","","百花洲文艺出版社","2013-10","56.80元","6.4"
"2991704","穿越异时空的少女","","巧灵","","江苏美术出版社","2008-01","23.8","6.1"
"3735921","骑士幻想夜","","Vivibear","","华文出版社","2009-06","25.0","7.1"
"3671738","寻秦记1","","黄易","","云南出版集团公司，云南人民出版社","2009-4","26.00元","8.2"
"6873409","远古伊甸","","清歌一片","","江苏文艺出版社","2011-10-1","29.80元","7.4"
"3769083","平凡的清穿日子3","彩虹堂","'清歌一片'","''","'江苏文艺出版社'","'2011-10-1'","'29.80元'","7.8"
"3829610","午门囧事Ⅲ·午门篇","午门囧事Ⅲ•午门篇","影照","","花山文艺","2009-8-1","26.8","7.8"
"2253362","清宫·红尘尽处（上下）","","爆走金鱼","","朝华出版社","2007-09","42.0","7.8"
"3802381","史上第一混乱·第五季·寻秦记","","张小花","","黄山书社","2009-6","26.80元","8.7"
"26222164","一生一世笑繁华终结篇（全三册）","","君子江山","","江苏凤凰文艺出版社","2014-11","79.80元","6.9"
"4179799","兰陵皇妃（上）","","杨千紫","","春风文艺","2009-9","16.80元","6.9"
"2216422","鸾，我的前半生，我的后半生1","","天夕","","作家出版社","2007-07","23.8","7.2"
"25778897","愿我如星君如月","","爱心果冻","","江苏文艺出版社","2013-12","75.00元","6.4"
"3683019","潇然梦之无游天下录","","小佚","","百花文艺","2009-4","39.80元","7.5"
"2976880","纳妾记","殷家血案","沐轶","","百花洲文艺出版社","2008-01","24.8","7.3"
"3766708","爱莫能弃","","'沐轶'","''","'百花洲文艺出版社'","'2008-01'","'24.8'","7.6"
"20440086","凤再上（上下）","","八月薇妮","","江苏文艺出版社","2012-12","59.80元","6.8"
"25841471","纨绔世子妃2·公子谋（上下）","","西子情","","青岛出版社","2014-3","59.80元","7.3"
"2062281","清空万里","","星野樱","","远方出版社","2007-05","22.0","7.3"
"20283082","庶女攻略2","","吱吱","","浙江文艺出版社","2012-11","32.00元","7.5"
"3802382","爱莫能弃","","'吱吱'","''","'浙江文艺出版社'","'2012-11'","'32.00元'","7.5"
"2993411","第一皇妃Ⅲ","","犬犬","","朝华出版社","2008-03","25.00元","7.9"
"2271317","凤舞大清Ⅰ","","沧海笑明月","","现代出版社","2007-10","22.0","7.3"
"25791942","天定风华5·啭九天（上下）","","天下归元","","江苏文艺出版社","2014-1","59.80元","8.3"
"3608017","烟水遥（上.下册）","知与谁同","唐韫","","花城出版社","2009-2","36.00元","7.0"
"3069481","太平","","书闲庭","","珠海出版社","2008-05","22.8","7.7"
"24855606","木槿花西月锦绣4","今宵风雨故人归","海飘雪","","青岛出版社","2013-8","29.80元","7.3"
"25747863","中国历史穿越指南","","解爱芹","","光明日报出版社","2013-9","36.00元","7.1"
"6125543","北方的空地","","杨柳松","","重庆出版社","2011-4","68.00元","9.2"
"2052567","我的灵魂在古代2","","半个灵魂","","天津人民出版社","2007-03","20.0","6.3"
"25806019","龙藏凤隐（上下）","","素子花殇","","江苏文艺出版社","2014-2","55.00元","6.7"
"4087440","食神王妃万万岁","","'素子花殇'","''","'江苏文艺出版社'","'2014-2'","'55.00元'","7.2"
"25698316","王牌宠妃（终结篇）","","安知晓","","青岛出版社","2013-9","49.80元","7.6"
"3069750","鸾，我的前半生，我的后半生3（大结局）","","天夕","","作家出版社","2008-04","24.80元","7.4"
"25762234","木槿花西月锦绣6","菩提煅铸明镜心","'天夕'","''","'作家出版社'","'2008-04'","'24.80元'","6.9"
"3264660","穿越之武林怪传（上下）","彩虹堂","蜀客","","内蒙古文化出版社","2008-10","53.60","7.3"
"3290316","誓不为妃·上","","云外天都","","万卷出版公司","2008-11","25.00元","6.9"
