3526514,隐姿梦咄(1),历史奇幻·文学写真书,抽屉,,广东省出版集团 新世纪出版社,2009,32.80,8.9
3359149,圖書館內亂,文學放映所51,有川浩,章澤儀,臺灣國際角川,2009年2月,NT$260元,9.0
26279028,面包和汤和猫咪好天气,,群阳子,张悦,上海文艺出版社,2015-3,25.00元,7.8
26851707,等一朵花开,,林帝浣,,北京联合出版公司·未读,2016-9,58.00元,7.8
11632754,惡魔高校D×D 01,,みしまひろじ、石踏一榮、みやま零,nezu,台灣角川,2012-10-19,NT$120,7.4
5921001,怀抱花月的水妖,文学少女6,[日] 野村美月 文、竹冈美穗 图,哈娜,人民文学出版社,2011-2,20.00元,8.7
3894769,妖怪公寓,,（日）香月日轮,红色,当代世界出版社,2009年8月,20.00元,7.8
6860715,长安幻夜,小说版3,（日）香月日轮,红色,当代世界出版社,2009年8月,20.00元,8.7
7916240,无头骑士异闻录 DuRaRaRa!! ×7,,[日] 成田良悟 著、[日] 安田铃人 绘,陈玮,湖南美术出版社,2012-2,25.00元,8.9
24358660,万能鉴定士Q的事件簿 01,,[日] 松冈圭祐,凛之弓,湖南美术出版社,2013-6,25.00元,7.1
24853063,古书堂事件手帖 02,栞子与她的谜样日常,[日] 三上延 著、[日] 越岛羽空 绘,黄薇嫔,湖南美术出版社,2013-8,25.00元,8.3
1482016,圣魔之血,悲嘆之星,吉田直,,謝怡苓,角川书店,NT180,9.0
1344965,十二國記：風之萬里·黎明之空（上）,,小野不由美,陳惠莉,尖端出版,2004-08,NT$ 320,9.2
5314876,猫物語 (白) (講談社BOX),,西尾 維新,,講談社,2010-10-27,JPY 1365,9.0
3908903,Fate/Zero Vol.4 [炼狱之炎],炼狱之炎,虚渊玄,,内蒙古人民出版社,2008,18.8元,9.3
4246650,對某飛行員的追憶,,犬村小六、森沢晴行,HANA,尖端出版社,2010-01-13,NT$200,8.9
7052004,皇帝的学园,,闲晴 著、草芥 绘,,湖南美术出版社,2012-1,22.00元,8.0
26324024,有頂天家族 二代目の帰朝,,森見 登美彦,,幻冬舎,2015-2-25,JPY  1,836,9.2
6828271,刀剑神域 02,艾恩葛朗特,[日] 川原砾 著、[日] abec 绘,林星宇,湖南美术出版社,2011-10,24.00元,7.9
26338184,Love Live！校园偶像日记 01,高坂穗乃果,[日] 公野樱子 著、[日] 室田雄平、[日] 音乃夏、[日] 清濑赤目 绘,方宁,浙江人民美术出版社,2015-5-1,CNY 22.00,7.2
6120759,19―ナインティーン,19岁~Nineteen~,綾崎 隼、紅玉 いづき、柴村 仁、橋本 紡、入間 人間,,アスキーメディアワークス,2010-12-25,JPY 599,7.8
10566340,悲鳴伝,,西尾 維新,,講談社,2012-4-26,JPY 1404,8.2
