"1470158","圆舞","","[加] 亦舒","","南海出版公司","2002-10","17.00元","8.0"
"1382829","萬水千山走遍","","'[加] 亦舒'","''","'南海出版公司'","'2002-10'","'17.00元'","8.6"
"1385988","失落的指纹","","派翠西亞·康薇爾","嚴韻","臉譜","20000710","144.00元","7.8"
"1393447","忧郁的热带","","[法] 列维-斯特劳斯","王志明","生活·读书·新知三联书店","2005-6","29.80元","9.1"
"1393907","揚眉女子","","'[法] 列维-斯特劳斯'","'王志明'","'生活·读书·新知三联书店'","'2005-6'","'29.80元'","8.6"
"1420663","艾米莉的诗样年华","经典成长小说艾米莉系列","(加拿大)露西·莫德·蒙哥玛利","王小丹","浙江文艺出版社","2011-3","20.00元","8.8"
"1420664","艾米莉之恋","经典成长小说艾米莉系列","(加拿大)露西·莫德·蒙哥玛莉","史津海","浙江文艺出版社","2011-3","18.00元","8.6"
"1426817","陌生人日记","","让·科克托","周怡芳","华东师范大学出版社","2005","19.80元","8.3"
"1440589","浪客剑心","","'让·科克托'","'周怡芳'","'华东师范大学出版社'","'2005'","'19.80元'","8.7"
"1444157","几乎成了英雄","","张嘉佳","","新星出版社","2005-11","18.00元","7.2"
"1448477","日本简史","","王新生","","北京大学","2005-11","24.00元","6.4"
"1452923","九州·斛珠夫人","","萧如瑟","","新世界出版社","2006-1","20.00元","8.0"
"2159042","挪威的森林","","[日] 村上春树","林少华","上海译文出版社","2007-7","23.00元","8.4"
"2160952","让孩子告别网瘾","网瘾戒治纪实","杨永信","","人民军医出版社","2007-6","20.0","2.3"
"2180619","偷书贼","","[澳] 马克斯·苏萨克","孙张静","南海出版公司","2007-8","25.00元","8.0"
"1791786","书城2006年6月号","","书城杂志社","","上海三联书店","200606","12.00","7.1"
"1790759","无爱不欢","","雪小禅","","朝华出版社","2006-5","20.00元","7.4"
"1393447","忧郁的热带","","[法] 列维-斯特劳斯","王志明","生活·读书·新知三联书店","2005-6","29.80元","9.1"
"1393907","揚眉女子","","'[法] 列维-斯特劳斯'","'王志明'","'生活·读书·新知三联书店'","'2005-6'","'29.80元'","8.6"
"1420663","艾米莉的诗样年华","经典成长小说艾米莉系列","(加拿大)露西·莫德·蒙哥玛利","王小丹","浙江文艺出版社","2011-3","20.00元","8.8"
"1420664","艾米莉之恋","经典成长小说艾米莉系列","(加拿大)露西·莫德·蒙哥玛莉","史津海","浙江文艺出版社","2011-3","18.00元","8.6"
"1426817","陌生人日记","","让·科克托","周怡芳","华东师范大学出版社","2005","19.80元","8.3"
