2052176,CSS禅意花园,Web视觉艺术设计的王者之书,[美] Dave Shea、Molly E. Holzschlag,陈黎夫、山崺颋,人民邮电出版社,2007-6,49.00元,8.4
2128082,创意的构想,,大前研一,庄娜,中信出版社,2007-6,22.00元,7.3
2128991,Interaction of Color,Revised and Expanded Edition,Josef Albers,,Yale University Press; Rev Exp edition (May 15, 2006),2006-5-15,$15,9.1
2155227,Inside Facebook,Life, Work and Visions of Greatness,Karel M. Baloun,,Trafford Publishing,2007-04-25,USD 14.50,7.3
2175995,CSS网站布局实录（第2版）,基于Web标准的网站设计指南,李超,,科学出版社,2007-9,39.00元,8.3
2000732,Head First Java（第二版·中文版）,,Kathy Sierra,Bert Bates 著、杨尊一 编译 张然等 改编,杨尊一,中国电力出版社,2007-2,79.00元,8.8
1997584,Rapid Contextual Design,A How-to Guide to Key Techniques for User-Centered Design,Karen Holtzblatt、Jessamyn Burns Wendell、Shelley Wood,,Morgan Kaufmann,2004-12-28,USD 59.95,8.7
1340897,Picture This,How Pictures Work,Molly Bang,,Chronicle Books,2004-10-26,CAD 14.99,8.7
1615055,工业设计心理学,,李乐山,,高等教育出版社图书发行部（兰色畅想）,2004-1,25.70元,7.6
1472946,《华尔街日报》是如何讲故事的,,[美] 威廉·E.布隆代尔,徐扬,华夏出版社,2006-1,38.00元,8.4
1484389,Contextual Design,Defining Customer-Centered Systems,Hugh Beyer、Karen Holtzblatt,,Morgan Kaufmann,1997-9-15,USD 85.95,7.6
1491830,栅格系统与版式设计,,金伯利·伊拉姆,王昊,上海人民美术出版社,2006-1,48.00元,8.4
1493780,心理与行为科学统计,,甘怡群,,北京大学出版社,2005,28.8,8.3
1500189,情趣的设计世界,,张剑,,福建美术出版社,2005-7,45.0,7.0
2158544,WWW & DESIGN,,Azur Corporation,,Architecture & Journalism Co.,Ltd.,2008-4,280,8.3
1712350,动机心理学,,皮特里,郭本禹,陕西师大,2005-10,52.00元,7.7
2175995,CSS网站布局实录（第2版）,基于Web标准的网站设计指南,李超,,科学出版社,2007-9,39.00元,8.3
2158544,WWW & DESIGN,,Azur Corporation,,Architecture & Journalism Co.,Ltd.,2008-4,280,8.3
1712350,动机心理学,,皮特里,郭本禹,陕西师大,2005-10,52.00元,7.7
1340897,Picture This,How Pictures Work,Molly Bang,,Chronicle Books,2004-10-26,CAD 14.99,8.7
3817241,未来产品的设计,,Donald A.Norman,刘松涛,电子工业出版社,2009-06,39.00,7.5
3815834,Now You See It,Simple Visualization Techniques for Quantitative Analysis,Stephen Few,,Analytics Press,2009-4-1,USD 45.00,8.3
3792134,Designing for the Digital Age,How to Create Human-Centered Products and Services,Kim Goodwin,,Wiley; annotated edition edition,February 24, 2009,$44.09,9.0
3787852,Designing Social Interfaces,Principles, Patterns, and Practices for Improving the User Experience,Christian Crumlish、Erin Malone,,Yahoo Press,2009-10-8,USD 49.99,7.9
